timestamp,open,high,low,close,volume,datetime
1669860000000,17097.5,17125,17070.5,17113,2293.193,2022-12-01 02:00:00+00:00
1669863600000,17113,17154.5,17112.5,17133,2047.164,2022-12-01 03:00:00+00:00
1669867200000,17133,17153,17116,17122.5,1533.362,2022-12-01 04:00:00+00:00
1669870800000,17122.5,17137.5,17054.5,17103,3136.86,2022-12-01 05:00:00+00:00
1669874400000,17103,17114,17072,17105,2500.569,2022-12-01 06:00:00+00:00
1669878000000,17105,17110,17056.5,17056.5,2096.647,2022-12-01 07:00:00+00:00
1669881600000,17056.5,17124,17053,17105.5,2854.95,2022-12-01 08:00:00+00:00
1669885200000,17105.5,17105.5,17073.5,17098,2088.8,2022-12-01 09:00:00+00:00
1669888800000,17098,17100,17080,17084.5,1298.929,2022-12-01 10:00:00+00:00
1669892400000,17084.5,17095.5,17034,17095.5,3645.94,2022-12-01 11:00:00+00:00
1669896000000,17095.5,17147,17095,17130,4076.996,2022-12-01 12:00:00+00:00
1669899600000,17130,17390,16955,17076.5,27476.579,2022-12-01 13:00:00+00:00
1669903200000,17076.5,17135.5,17013,17095.5,7802.267,2022-12-01 14:00:00+00:00
1669906800000,17095.5,17135,16888.5,16969.5,16994.924,2022-12-01 15:00:00+00:00
1669910400000,16969.5,16992,16915,16980.5,4824.136,2022-12-01 16:00:00+00:00
1669914000000,16980.5,16984,16927,16964,4036.147,2022-12-01 17:00:00+00:00
1669917600000,16964,16971,16906,16933.5,3235.858,2022-12-01 18:00:00+00:00
1669921200000,16933.5,16956,16892,16945,2887.634,2022-12-01 19:00:00+00:00
1669924800000,16945,16962.5,16910,16910,1499.481,2022-12-01 20:00:00+00:00
1669928400000,16910,16936.5,16850,16927,6169.291,2022-12-01 21:00:00+00:00
1669932000000,16927,16978,16923,16960.5,2311.828,2022-12-01 22:00:00+00:00
1669935600000,16960.5,16973.5,16936.5,16972.5,1589.488,2022-12-01 23:00:00+00:00
1669939200000,16972.5,17040,16951.5,17035.5,3537.308,2022-12-02 00:00:00+00:00
1669942800000,17035.5,17041.5,16871,16920,5449.899,2022-12-02 01:00:00+00:00
1669946400000,16920,16935,16856.5,16916.5,4526.65,2022-12-02 02:00:00+00:00
1669950000000,16916.5,16928.5,16886.5,16898,1538.759,2022-12-02 03:00:00+00:00
1669953600000,16898,16934.5,16880.5,16930,1390.208,2022-12-02 04:00:00+00:00
1669957200000,16930,16945,16926,16930,1534.999,2022-12-02 05:00:00+00:00
1669960800000,16930,16944.5,16904,16904,1447.235,2022-12-02 06:00:00+00:00
1669964400000,16904,16969,16902,16951,2370.589,2022-12-02 07:00:00+00:00
1669968000000,16951,16963.5,16932.5,16957.5,1333.742,2022-12-02 08:00:00+00:00
1669971600000,16957.5,16982.5,16954,16960,1913.89,2022-12-02 09:00:00+00:00
1669975200000,16960,16967.5,16947.5,16958.5,1376.41,2022-12-02 10:00:00+00:00
1669978800000,16958.5,17035,16950,16984.5,5588.973,2022-12-02 11:00:00+00:00
